name,PaxinaWeb,Web,Enderezo,CodigoPostal,Provincia,Concello,WKT
"ALBERGUE DE PEREGRINOS DE XUNQUEIRA DE AMBÍA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380522/albergue-de-peregrinos-de-xunqueira-de-ambia?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Asdrúbal Ferreiro","32670","Ourense","Xunqueira de Ambía","POINT (-7.730506 42.201763)"
"ALBERGUE DE PEREGRINOS DO CÁDAVO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380574/albergue-de-peregrinos-do-cadavo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","da Feira, nº s/n","27130","Lugo","Baleira","POINT (-7.245113 43.01733)"
"ALBERGUE DE PEREGRINOS DO CEBREIRO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380515/albergue-de-peregrinos-do-cebreiro?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27130","Lugo","Pedrafita do Cebreiro","POINT (-7.04625 42.707767)"
"ALBERGUE DE PEREGRINOS DO CONCO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380531/albergue-de-peregrinos-do-conco?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15151","A Coruña","Dumbría","POINT (-9.112138 43.00496)"
"ALBERGUE DE PEREGRINOS DO PORRIÑO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380532/albergue-de-peregrinos-do-porrino?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Finca Isla, nº s/n","36400","Pontevedra","O Porriño","POINT (-8.624746 42.162292)"
"ALBERGUE DE PEREGRINOS DOS CHACOTES","<a href=""http://www.turismo.gal/recurso/-/detalle/280380536/albergue-de-peregrinos-dos-chacotes?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","As Lagartas - Os Chacotes, nº s/n","27200","Lugo","Palas de Rei","POINT (-7.857182 42.874077)"
"ALBERGUE DE PEREGRINOS HOSPITAL DE BRUMA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380530/albergue-de-peregrinos-hospital-de-bruma?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15685","A Coruña","Mesía","POINT (-8.364208 43.151257)"
"ALBERGUE DE PEREGRINOS SAN ROMAO DA RETORTA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380606/albergue-de-peregrinos-san-romao-da-retorta?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","27234","Lugo","Guntín","POINT (-7.7466593 42.951496)"
"ALBERGUE DE PEREGRINOS TELLEIRA DE BAIUCA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380564/albergue-de-peregrinos-telleira-de-baiuca?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15818","A Coruña","Boimorto","POINT (-8.12645 43.012325)"
"ALBERGUE DE VIGO","<a href=""http://www.turismo.gal/recurso/-/detalle/210713000240/albergue-de-vigo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa Ribeira do Berbés , nº 5","36202","Pontevedra","Vigo","POINT (-8.728933 42.237797)"
"ALBERGUE DE XINZO DE LIMIA","<a href=""http://www.turismo.gal/recurso/-/detalle/170823000286/albergue-de-xinzo-de-limia?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa Serra de San Mamede, nº 6","","Ourense","Xinzo de Limia","POINT (-7.72891 42.063824)"
"CASA DA VIÚVA","<a href=""http://www.turismo.gal/recurso/-/detalle/210805000157/casa-da-viuva?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Avenida Beato Sebastián de Aparicio , nº 40","32540","Ourense","A Gudiña","POINT (-7.140875 42.060505)"
